vehicles,van_capacity,total_distance_km,longest_route_km,est_cost_eur,est_co2_kg
5,100,674.928,156.292,674.93,168.73
6,90,741.766,167.613,741.77,185.44
7,75,803.699,155.949,803.70,200.92
8,64,894.449,150.478,894.45,223.61
9,56,960.668,149.896,960.67,240.17
10,51,1017.240,149.691,1017.24,254.31
11,45,1072.110,149.255,1072.11,268.03
12,42,1145.667,140.985,1145.67,286.42
13,38,1233.316,140.996,1233.32,308.33
14,37,1291.498,141.051,1291.50,322.87
15,33,1372.874,140.845,1372.87,343.22
16,32,1436.747,140.027,1436.75,359.19
17,30,1471.372,135.021,1471.37,367.84
18,29,1540.858,135.021,1540.86,385.21
20,26,1707.052,135.000,1707.05,426.76
