vehicle,stop_order,node,is_depot,demand,load_after_stop,cumulative_distance,x,y
1,0,0,True,0,0,0.0,50.0,50.0
1,1,57,False,7,7,42.554,22.11,82.14
1,2,17,False,7,14,47.319,22.69,86.87
1,3,37,False,4,18,56.249,21.43,95.71
1,4,32,False,12,30,62.081,15.6,95.55
1,5,52,False,5,35,68.461,9.68,93.17
1,6,27,False,5,40,82.43,7.33,79.4
1,7,22,False,2,42,93.409,17.38,74.98
1,8,7,False,2,44,95.073,18.87,74.24
1,9,15,False,6,50,119.524,30.29,52.62
1,10,0,True,0,50,139.407,50.0,50.0
2,0,0,True,0,0,0.0,50.0,50.0
2,1,47,False,8,8,38.003,25.57,79.11
2,2,42,False,8,16,39.133,25.57,80.24
2,3,2,False,7,23,45.966,26.13,87.05
2,4,12,False,8,31,48.366,27.41,89.08
2,5,0,True,0,31,93.505,50.0,50.0
3,0,0,True,0,0,0.0,50.0,50.0
3,1,38,False,6,6,34.091,80.73,64.76
3,2,53,False,11,17,36.876,80.57,67.54
3,3,49,False,8,25,44.009,86.62,71.32
3,4,23,False,12,37,49.744,85.7,76.98
3,5,58,False,9,46,59.479,77.75,71.36
3,6,28,False,2,48,66.047,72.66,67.21
3,7,0,True,0,48,94.501,50.0,50.0
4,0,0,True,0,0,0.0,50.0,50.0
4,1,48,False,1,1,39.608,82.31,72.91
4,2,44,False,10,11,57.108,98.0,80.66
4,3,9,False,11,22,74.609,95.63,98.0
4,4,59,False,12,34,86.908,88.54,87.95
4,5,34,False,10,44,95.944,84.19,80.03
4,6,39,False,5,49,107.453,74.79,73.39
4,7,0,True,0,49,141.536,50.0,50.0
5,0,0,True,0,0,0.0,50.0,50.0
5,1,10,False,7,7,25.555,35.85,28.72
5,2,56,False,2,9,33.06,33.17,21.71
5,3,26,False,5,14,37.849,34.81,17.21
5,4,16,False,12,26,53.124,33.41,2.0
5,5,21,False,10,36,65.378,24.78,10.7
5,6,41,False,6,42,67.422,24.47,12.72
5,7,31,False,2,44,79.055,29.35,23.28
5,8,35,False,5,49,83.147,28.44,27.27
5,9,0,True,0,49,114.476,50.0,50.0
6,0,0,True,0,0,0.0,50.0,50.0
6,1,43,False,10,10,26.924,76.78,47.22
6,2,33,False,3,13,42.917,91.56,41.11
6,3,3,False,8,21,61.697,91.61,59.89
6,4,18,False,11,32,68.675,84.77,61.27
6,5,13,False,11,43,78.479,78.83,53.47
6,6,0,True,0,43,107.517,50.0,50.0
7,0,0,True,0,0,0.0,50.0,50.0
7,1,50,False,2,2,11.921,48.61,38.16
7,2,40,False,12,14,25.404,47.67,24.71
7,3,1,False,4,18,33.064,42.52,19.04
7,4,6,False,12,30,35.98,40.69,16.77
7,5,11,False,12,42,43.157,35.59,21.82
7,6,51,False,8,50,47.672,39.94,23.03
7,7,0,True,0,50,76.457,50.0,50.0
8,0,0,True,0,0,0.0,50.0,50.0
8,1,5,False,12,12,28.926,50.97,21.09
8,2,60,False,11,23,35.055,53.17,26.81
8,3,46,False,10,33,36.775,53.22,28.53
8,4,55,False,6,39,50.485,52.32,42.21
8,5,0,True,0,39,58.613,50.0,50.0
9,0,0,True,0,0,0.0,50.0,50.0
9,1,54,False,12,12,39.342,72.49,82.28
9,2,29,False,7,19,45.669,73.26,88.56
9,3,4,False,4,23,51.76,78.43,91.78
9,4,14,False,6,29,51.849,78.39,91.86
9,5,19,False,1,30,54.063,80.38,92.83
9,6,24,False,10,40,66.856,80.11,80.04
9,7,8,False,10,50,88.554,64.15,65.34
9,8,0,True,0,50,109.424,50.0,50.0
10,0,0,True,0,0,0.0,50.0,50.0
10,1,20,False,11,11,16.581,36.99,39.72
10,2,25,False,8,19,26.258,27.42,38.29
10,3,36,False,6,25,43.289,43.0,31.41
10,4,30,False,12,37,46.696,45.19,34.02
10,5,45,False,2,39,50.342,42.26,36.19
10,6,0,True,0,39,66.173,50.0,50.0
